Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
Initial tattoo which formed my nipple is getting very pale. Recommendations for a doctor?,"October 29, 2013","Toronto, Ontario, Canada",The tattooing on my breast reconstruction which formed the nipple is getting very pale. Can someone recommend a dr. in Toronto or Manhattan where they had success? Thanks,Initial tattoo which formed my nipple is getting very pale. Recommendations for a doctor?
"I'm 5'9, 170 lbs and my upper body is a lil on the wider side currently I wear a 36B bra and off hand how big would a 600cc be?","October 21, 2013",,"Breast augmentation 600cc on 5""9"",170 wider shoulder female currently a 36B","I'm 5'9, 170 lbs and my upper body is a lil on the wider side currently I wear a 36B bra and off hand how big would a 600cc be?"
Should breast implants after reconstruction begin to sag and ripple after 6 weeks? (photo),"November 10, 2013",,"What are the best techniques to repair this? Delayed reconstruction after double mastectomy even with 24 hours support bra wear. Spacers in for 3 1/2 months. 425CC implants, 5'1"", 102lbs, now size 34C. Breasts are sagging 1/2"" below bottom of breast, 3/4"" below incision , rippling on both sides and breasts fall into armpits when laying on back. Skins is super loose and breasts are soft. Sharp pain in left breast when using left arm. Can Alloderm be used without removing implants or do I have to start over again?",Should breast implants after reconstruction begin to sag and ripple after 6 weeks? (photo)
"Tissue Died, Nipples Died, Now I am left with holes in my breast for removed tissue. Has this happened to anyone else?","November 12, 2013",,I had a Bi-lateral NSM 10/09. At my 2 week check up I had tissue that was dead and had to be removed (which left a gaping hole in my breast). I pack the hole with wet/dry dressings 4 times a day. At my 4 week appt my nipples had died and my dr removed both nipples (now leaving my left breast with 2 holes and my right breast with 1 hole). I have been packing all 3 holes for 3 weeks now. The dr now wants to remove a little tissue on the left breast and stitch the holes closed. Is this normal?,"Tissue Died, Nipples Died, Now I am left with holes in my breast for removed tissue. Has this happened to anyone else?"
I need to get a second free flap reconstructive surgery because my first flap failed from thrombosis. What will my doc do next?,"October 28, 2013",,"I'm 33, active, no other history of clots, no alcohol or drugs but I had a reconstructive free flap fail because of a clot. What will my surgeon likely do the 2nd time around? He wants me to do an angiogram at the new donor site. What else? Put me on a blood thinner before surgery? Just wondering what the general procedure is on a failed flap. He took from my left side 1st and will take from the right side this next time, but if I have another flap failure can he take from my left a 2nd time?",I need to get a second free flap reconstructive surgery because my first flap failed from thrombosis. What will my doc do next?
Can a plastic surgeon do a simple mastectomy and immediate skin sparing recon and what kind of money would it cost?,"November 10, 2013",,I was recently diagnosed with FEA and am high risk for breast cancer. The doctors advise was lets wait and see...im going to be checked every six months. The fear is overwhelming and insurance won't cover it because it is not cancer yet. I have a lot of skin because I've lost 90 pounds in the last year via a lap band. So my previously G cup now needs a D just to hold the skin. I'd like to be a big B or a small C. I just have no idea what this might cost. Thanks,Can a plastic surgeon do a simple mastectomy and immediate skin sparing recon and what kind of money would it cost?
Double masectomy due to brca1 had tissue expanders exchanged for implants 3 months ago I have cellulitus in left breast? (photo),"November 13, 2013",hawick scotland uk,"Been on iv antibiotics for 11 days but changed to stronger ones 2 days ago with definate improvement but they still say I could lose implant, I do not want to lose this implant I am 29 and want to know every option I have of not having to be left with nothing for months while it heals, this breast was a lot worse at the beginning so is there a chance?",Double masectomy due to brca1 had tissue expanders exchanged for implants 3 months ago I have cellulitus in left breast? (photo)
I'm 5'3 145lbs had double mastectomy 4years ago with first surgeon botched it?,"November 14, 2013",,"I'm planning to get to my original weight 130 I'm about 36d 750cc want to be a 36 fullC is that a good size and what is the cc's for that. My macetomy was in 2009 and had to go to new drs due to botched reconstruction surgery. I'm having them redone I want to be a 36Cfull what cc,s is that can you show me a picture my surgery is in December of 2013",I'm 5'3 145lbs had double mastectomy 4years ago with first surgeon botched it?
Will my allergan 410s soften in my reconstructed breasts? (photo),"November 13, 2013","Omaha, NE","Last week I swapped my 600 round silicone implants for the new allergan 410s. I switched for a number of reasons. They look good. They look so natural and nice. They are extremely firm, almost hard. They are heavy and firm. They are extremely uncomfortable. Will they soften at all? I don't want another surgery. I can't handle the psychological side of dealing with the changes anymore.",Will my allergan 410s soften in my reconstructed breasts? (photo)
"Really Need Help with Choosing Final Size and Placement of Implants After Reconstruction, Help?","January 30, 2012",,"Doctors,I had a Bilateral(skin and nipple-sparing) mastectomy 11/2011. I&#39;m 5&#39;7"", 130-5 lbs. My bra size pre-surgery was a full 36B to 36C. My expanders (Natrelle 300cc)have been filled to 380cc as of 1/20/12. The nurse said I will probably only have another 120ccs maximum, and I&#39;m concerned. Expanders are very far from my sternum extending under my arms. My best attempts to fit bras make me a B cup. I&#39;d like a FULL C with more centered/natural placement. This is stressful. Thanks for any help!","Really Need Help with Choosing Final Size and Placement of Implants After Reconstruction, Help?"
I have developed Symmastia. I also have an issue with one implant sitting lower than the other and a large pocket of redundancy?,"October 28, 2013",,"I have had a two step reconstruction. (Bilat. Mastectomy, Prophylactic) My surgeon wants to wait to revise till six months out from implant placement.(Almost at four months) I understand the need to let the scarring mature and soften a bit. But my concern is that the symmastia will get worse as time goes on. The redundancy is also making it impossible to wear a bra. Is there and medical drawback to having a revision sooner than six months? Generally speaking of course.",I have developed Symmastia. I also have an issue with one implant sitting lower than the other and a large pocket of redundancy?
How common is breast reconstruction scar revision done and any other revisions? (photo),"November 5, 2013",,"The initial mastectomy incision was done in the nipple area and scarred badly. My PS was going to clean up the scar at the exchange, or later in the office, but has changed his mind. He now would like to do it in the hospital. Are scar revisions ever done in the office as he originally stated? Also, how often are other types of revisions done? If I am going to have to have a revision in the hospital I would almost rather wait and do everything at once. My exchange was in August.",How common is breast reconstruction scar revision done and any other revisions? (photo)
I have a complex abdominal seroma 7 weeks after a free flap done as reconstruction for bilateral mastectomy?,"November 6, 2013",,"I had a bilateral mastectomy and a free flap reconstruction.The last abdominal drainage tube was removed after 5 weeks;it was still putting out 200ml per day.The next week I had a radiology guided abdominal tube inserted. Apparently, I have a ""complex"" seroma where fluid is in most of my abdomen.A week after this tube was inserted I'm still putting out 180ml daily.What's your experience with recovery of this seroma problem? Will this ever heal? The dr will evaluate in 2 weeks. Thanks",I have a complex abdominal seroma 7 weeks after a free flap done as reconstruction for bilateral mastectomy?
I have droopy and uneven breasts. I fear i have tubular breasts after research. I wonder what can be done about it? (photo),"November 6, 2013",,I am severely depressed from them and have shown them to no1 and spoke to no1 i am still embarrassed and ashamed and afraid of being turned away from the GP but its becoming a really low point in my life were it is affect my life and work. Thank you,I have droopy and uneven breasts. I fear i have tubular breasts after research. I wonder what can be done about it? (photo)
"Is there a way to fix a problem with oversize breast pockets, sagging and pain post reconstruction? What are my options?","November 7, 2013",,"After final reconstruction, prophylactic tissue sparing mastectomy with spacers at 8 weeks and permanent implants (425cc silicone/34 C) 3 /12 months later, my left breast immediately fell into my armpit and the right breast is slipping. Both breasts have sagged nearly 1/2"" below their surgery position (6 weeks). Worn bras day/night since surgery. No heavy lifting or exercise. Sleeping on back only. Surgeon acknowledged the sagging at 2 week post surgery appt. I am 5'1""/102lbs. Should I pay for the fix?","Is there a way to fix a problem with oversize breast pockets, sagging and pain post reconstruction? What are my options?"
"I'm very concerned of my healing process with the vac therapy, I stopped smoking before surgery, now smoking a few a day?","November 7, 2013",,"I had surgery and two weeks after above the public hair line swelled up with fluid and had to be placed on vac therapy and healing has shown improvement with the depth , and width. I'm very worried that since I have been smoking a few cigarettes a day will this stop the healing process or cause black skin to come back.","I'm very concerned of my healing process with the vac therapy, I stopped smoking before surgery, now smoking a few a day?"
Best breast reconstruction after an elective mastectomy?,"November 7, 2013",,I am 29 yeara old and have had my ovaries and tubes removed. I have the BRCA 2 GENE and have lost several aunts cousins and mom to this. I am going for my second ellective surgery a mastectomy. I have had 2 kids nursed both went from a D cup to a small B. I am not too sure what is the best reconstriction choices are after?,Best breast reconstruction after an elective mastectomy?
I want to know how i can stretch my breast skin more that the tissue exspander?,"November 8, 2013","Fort Lauderdale, FL","i am under reconstruction from a masectomy delayed, my dr wants to reduce my natural breast, i am only a b cup, i want a c cup can u help me please",I want to know how i can stretch my breast skin more that the tissue exspander?
Total Reconstruction after radiotherapy?,"November 9, 2013",,"I was treated for triple negative breast cancer in my right breast with 8 chemo /lumpectomy surgery then 4 weeks of radiotherapy. Shortly after my treatment finished I was told I had BRCA 1 & was advised to have a double mastectomy but was told reconstruction would be difficult, because of the radiotherpy, I am quite slim with little body fat. The pictures my surgeon showed me were horrific of skin transfere. I really don't want this option is there anything else I could do.",Total Reconstruction after radiotherapy?
I had a nipple sparring mastecomy. With the expanders my nipples are always erect will that continue that way after exchange?,"October 23, 2013","Stl, Mo","I had a nipple sparring mastecomy. Next month I will be exchanging my tissue expanders for silicone round implants. With the expanders my nipples have been erect. I wonder if the hardness of the implants possibly is pushing up against it causing it to protude. So the question is after my exchange will my ""head lights"" continue to be on ?",I had a nipple sparring mastecomy. With the expanders my nipples are always erect will that continue that way after exchange?
Is my insurance required to pay for additional surgery after mastectomy?,"November 19, 2013",,I had a double mastectomy in 2003. My mom and identical twin sister had breast cancer. I was covered by Tenn Care at the time. They approved and covered the surgery and the reconstruction. Due to complications I now require another surgery. They say that they will not cover it. Are they required to cover this procedure?,Is my insurance required to pay for additional surgery after mastectomy?
Breast reconstruction after bilateral mastectomy 2011. No longer have insurance severe pains daily. Options?,"November 19, 2013",,,Breast reconstruction after bilateral mastectomy 2011. No longer have insurance severe pains daily. Options?
Can someone please help me determine what is going on with my breast after a lift of a radiated breast? (photo),"November 20, 2013",,"I had radiation therapy following breast cancer in 1997. Over the years the breast got smaller and smaller so recently I had a breast reduction and lift done to the unaffected breast, and just a lift done to the radiated breast as per my doctors recommendation. Now two months after my surgery the radiated breast is hard and black in some areas. My doctor has treated me for an infection, but the problem still exist and he seems to not have a clue as to how to proceed, which worries me.",Can someone please help me determine what is going on with my breast after a lift of a radiated breast? (photo)
Breast Reconstruction and Augmentation Revision Following a Mastectomy?,"November 16, 2013","Towson, MD",I had Breast Recon to replace an Expander on my right side and a breast lift & Augmentation on my left breast.4 weeks post surgery I met with my surgeon who said that my left breast showed no sign of dropping & was high on my chest.The right breast has dropped past the fold.She has recommended a revision for my breast augmentation to get the implant to drop & a fold recon on the right using permanent sutures.Do these surgeries seem needed at this point?Is it common for an implant not to drop?,Breast Reconstruction and Augmentation Revision Following a Mastectomy?
My right breast is higher than the left and no capsular contraction? (photo),"November 10, 2013","Philadelphia, PA","I am having revision surgery and want to know my options? I had BC in 08/12, followed with a BM and expanders. I had chemo and herceptin treatments. Radiation was completed in 05/13 on the right side. Had a problem with the right tissue expander. It flipped upside down but my PS said he could fix it. I had the implant exchange in 08/13. Unfortunately the right breast is higher than the left. My PS and I discussed a revision surgery to lift the left breast to match the right. But can the right be lowered? It feels too high and the muscle is still sore.",My right breast is higher than the left and no capsular contraction? (photo)
"Will I need revision surgery, or will I heal on my own? (photo)","November 30, 2013","Toronto, ON","I am 12 days post op, has a prophylactic bilateral mastectomy with insertion of tissue expanders. Drains still in (2, 1 on each side). Right now plastic surgeon asked to clean with hot water using cotton in the mornings, applying polysporin and changing the dressing. This was yesterday and next appointment is on Tuesday. Photo shows right breast although left breast is in the same condition. I appreciate your advice.","Will I need revision surgery, or will I heal on my own? (photo)"
750cc Implant Size After Double Mastectomy,"December 6, 2010","stevens point, WI",I had a double mastectomy a few months ago (after testing positive for the gene). I&#39;ve had the expanders in since surgery and am getting ready for my final exchange in a few weeks. Is 750cc too large of an implant? What cup size will I actually be?,750cc Implant Size After Double Mastectomy
Looking for your opinion on how I am healing and if you would suggest revision surgery? (photo),"December 1, 2013","Toronto, ON","PBM with Expanders, necrosis formation? Please excuse that I've asked a question before. This time I've attached a photo of Day 5 and Day 12. In comparison, I can see the necrosis formation that my doctor has confirmed. In your opinion, I am wondering if I was your patient if you felt I was not healing properly and require surgery to remove the affected area, or/also what the chances in your experience are that I may be able to continue healing in this state without more surgery. Thank you and I appreciate your opinion.",Looking for your opinion on how I am healing and if you would suggest revision surgery? (photo)
Still swollen 3 months after abdominal lipo and breast reconstruction and concerned?,"December 3, 2013","Los Angeles, CA","I am still swollen 3 months after abdominal lipo and breast reconstruction with implants. I am about 8 pounds up from pre-surgery although 3 days after surgery I was 15 pounds up so, things have improved from then. I am almost 100% it's swelling because of how I feel sluggish, tireds, my hands & legs are swollen and if I press my finger into my leg it leaves a dent. I have been very careful about my diet and don't know if I should be worried about this?",Still swollen 3 months after abdominal lipo and breast reconstruction and concerned?
Wanting to increase your breast size after reconstruction with implants? Will expanders be needed again?,"November 28, 2013","Stl, Mo","Hi, I am two weeks post opp. I had my expanders exchanged for 505cc textured round HP silicone implants. I was expanded to 450. they are shaping up to be very nice, I just wonder if I should have went larger. My expansion process was rushed because I had to get radiation , and after that the process would have been even more painful because of the scar tissue. I really am tired of surgeries but down the line if I wanted to go larger maybe to 600cc, will I need expanders again?",Wanting to increase your breast size after reconstruction with implants? Will expanders be needed again?
I am six weeks post op from a breast reconstruction. Recon breast has bottomed out and augmentation breast is too high? (photo),"November 24, 2013","Towson, MD",I had a tissue expander exchange to a silicone implant on my right breast and a lift and augmentation to my left breast to achieve symmetry and the larger breasts I always wanted. Surgeon said she had to go smaller than I wanted. The right mastectomy implant has bottomed out and the left augmentation is still too high and very hard. She wants to do a fold reconstruction for the right and a procedure to lower the implant on the left. Is this normal? Is there something else I should consider?,I am six weeks post op from a breast reconstruction. Recon breast has bottomed out and augmentation breast is too high? (photo)
"I had stage 1 breast cancer 3 years ago, I am still having severe pain in my ribs and nipples why?","November 23, 2013",,all cancer is gone so far but i still have my breasts but the pain is getting worse why,"I had stage 1 breast cancer 3 years ago, I am still having severe pain in my ribs and nipples why?"
"I am 7 weeks post bilateral mastectomy with flap and tissue expanders, have swelling on both both breast. What can be going on?","November 20, 2013",,"Had bilateral mastectomy with flap reconstruction and tissue expanders 7 week ago. Had last 2 of my 6 drains removed at week 6 after treatment for cellulitis on the left breast. Have swelling on both breast and had fluid removed 6 days after drains removed. Both breast every swollen and uncomfortable. I am a kidney transplant patient as well, have had my transplant for 17 years.","I am 7 weeks post bilateral mastectomy with flap and tissue expanders, have swelling on both both breast. What can be going on?"
Are Shooting Pains Normal?,"November 20, 2013",,"Due to breast cancer, I had a mastectomy 9 months ago. Six months ago I had the reconstruction. I also had a breast lift with the lollipop incision and a small implant was placed in the unaffected healthy breast for asymmetry. I still continue to have sharp shooting pains in the breast that did not have the mastectomy. Some times they are so intense that I have to stop driving right away. Is this normal?",Are Shooting Pains Normal?
Second Try with Breast Expanders. Last Removed Due to Infection. Now Having Another. Why?,"October 2, 2011","Duluth, GA","I need to know why I keep having these infections. in the right side of my chest wall, is it because my cancer started there and they removed my lymp nodes?",Second Try with Breast Expanders. Last Removed Due to Infection. Now Having Another. Why?
I had a mastectomy 8 years ago in my right breast - I had a saline implant at the time of surgery?,"November 20, 2013",,"A couple of times a year (sometimes 3) I will get very sharp, tingling, itchy pains in my breast. It seems to happen after I have done yard work, etc. At times it is very painful. It lasts for 3 to 5 days and disappears as fast as it came. I try heat pads, Tylenol, etc nothing helps. A doctor told me it could be tissue or nerves that become detached from the implant. I was hoping other women that have experienced this might be able to give me some advice on dealing with/or easing the pain.",I had a mastectomy 8 years ago in my right breast - I had a saline implant at the time of surgery?
BRCA1+ - looking for insurance coverage for implant replacement?,"November 19, 2013",,I'm BRCA1+ and had a propholactic bilateral DIEP mastectomy in January 2012. I had revision surgery in June 2012 to include saline implants. I know want to exchange the round 150 saline implants with teardrop silicone implants because I feel like I don't have the fullness on top and I want the more natural feel of silicone implants. The insurance company denied the surgery and said it was cosmetic. Is there something that I can say on the appeal to get this covered by insurance?,BRCA1+ - looking for insurance coverage for implant replacement?
"I Had Dcis with a Bilateral Mastectomy, No Chemo or Radiation Needed. Four Month Silicone 400 Cc High Profile Implants?","April 7, 2013",,The PS also took the extra skin bulge under my arms at the same time. I am working with a wonderful physical therapist for the last two months to release the extreme tightness in four different areas. I feel like there is a harness under my arms straight under both implants. I am getting very depressed and I know this is not normal. I will be going for another opinion. Did I make the right choice with the implants? Is it all scar tissue? I've always been in good physical shape. Appreciate help,"I Had Dcis with a Bilateral Mastectomy, No Chemo or Radiation Needed. Four Month Silicone 400 Cc High Profile Implants?"
Would PT be helpful post op?,"November 25, 2013",,"Would Physical therapy be helpful post bilateral mastectomy with Latisimal dorsi flap and expanders, to help the tightness I have around my chest and the heaviness of my breast? I don't know how I will return to work feeling like this. I still don't have full range of motion of my arms.",Would PT be helpful post op?
If you had radiation 12 years ago would it stop your mastestomy skin from stretching?,"November 25, 2013","Fort Lauderdale, FL","i had a mastectomy in may of 2013 . i had radiaton about 12 years ago . i was told my skin wont strtch as well , i am having reconstruction , he has nt feel my implant no more i have 450 or 500 hundred ccs and also i have a sunken in spot on around my collar bound do from port can i get some fat and inject into sunken in spot",If you had radiation 12 years ago would it stop your mastestomy skin from stretching?
How long can the tissue expander stay in?,"December 24, 2013","Ballston Spa, New York",Mine was placed in august 2012. If I wait another few months I have more sick time to use and I decided to go to the diep flap which may require me to be home from work longer. Thank you! Lora,How long can the tissue expander stay in?
Healing and activity post implant exchange with silicone following tissue expansion?,"December 27, 2013",,"3 weeks since implant exchange. Had expanders for 11 months. Does that make pocket more stable? Been doing housework-washing floors on hands & knees, vacuuming. Didn't get detailed post surgery instructions & can't reach surgeon until Jan 7. What exactly could happen from too much activity or engaging pecs, and would it be obvious? Thanks!",Healing and activity post implant exchange with silicone following tissue expansion?
"What Implant Size Will Most Nearly Match a Natrelle Saline Implant Style 45, 460 Cc, ","November 15, 2011","South Williamsport, PA","Ater having a nipple sparing mastectomy on my left breast, I am trying to figure out what breast implant size would most equal my reconstructed breast. My reconstructed breast is a Natrelle Silicone style 45, 460cc, 11.4cm width, 5.9 projection. My right side is a Natrelle silicone style 20, 375cc, 11.7 width, and 4.9 projection. My right side implant appears too small. Before surgery and augmentation, my bra size was a 34 A cup. What size implant on my right side will make me more even.","What Implant Size Will Most Nearly Match a Natrelle Saline Implant Style 45, 460 Cc, "
bilateral double mastectomy without reconstruction..,"December 29, 2013",,I had operation two weeks ago and I was wondering how long must the bandage stay in place for?,bilateral double mastectomy without reconstruction..
I have the BRCA2 gene and implants but need to have a double masectomy. What are my options?,"December 29, 2013",,I tested positive for the BRCA2 gene. I currently have implants and I would like to have a double masectomy. Since my muscle is already stretched would I need to have expanders or use the alloderm procedure? I watched my mom and sister with the expanders and they were in so much pain.,I have the BRCA2 gene and implants but need to have a double masectomy. What are my options?
Can I remove my breasts completely?,"December 28, 2013",,"My breasts are nothing but ugly and in the way. They aren't very big, B-C cup but the areolas are a lot bigger than average. I find their existence very disturbing at all times, even when all alone fully dressed. I don't want to accept them because they are nothing but a burden to me.I don't want implants or augmentation to make them look better, I want them to be removed completely. What kind of result should I expect and how much will it cost?",Can I remove my breasts completely?
Is my situation one of major concern day 1 after 1st chemo treatment? (photo),"January 4, 2014",,"I had my first chemo treatment yesterday - 01/03/14 - with taxotere, carboplatin and herceptin to taget stage 1 HER2+ cancer cells. I had a double mastectomy with tissue expanders on 12/11/13. After the first session my only side affects were pressure in the tissue expanders which still exist. The are not red, but do hurt. I walked around a lot today and am tring to sleep upright.",Is my situation one of major concern day 1 after 1st chemo treatment? (photo)
Is this how the incision should look around my areola? (photo),"January 8, 2014",,"I had a periareolar mastopexy and augmentation 19 days ago and got the steri strips removed yesterday and was given Biocorneum to use twice daily. As I was applying it last night, part of the scab peeled off to reveal this. Is the incision split open a little? Is this normal looking?",Is this how the incision should look around my areola? (photo)
If you have benign lumpy breast can you get a prophylactic breast implants?,"January 7, 2014",Miami,"A lady I know says she had this done and her insurance paid for it. (I don't want to hear it depends on your insurance contact your insurance) I want to know in your practice or experience does it happen? She had, had mammograms, and biopsy, which came back negative for cancer, but said the lumps made her anxious and she wanted them removed (her breast not the lumps). She had a masectomy, expanders and implants. Does insurance pay for a prophylactic surgery like this?",If you have benign lumpy breast can you get a prophylactic breast implants?
"Should I be concerned about a lump in my breast implant, that I can pop in and out by my clevage?","January 13, 2014","Great Britain, GB","I had reconstruction surgery on my left breast (i have a rare condition called poland syndrome), since I have noticed that half way down my clevage is what seems like a bump in my implant, it sticks out slightly, and when I press it pops in and out - its quite soft (not like a hard ball). It doesn't hurt, but when I press it and fiddle it does start to ache a little. I have my post op in 6 weeks, but I don't know whether to be concerned? Any answers would be much appreciated! Thanks","Should I be concerned about a lump in my breast implant, that I can pop in and out by my clevage?"
How will this 2nd surgery will end up? (photo),"December 7, 2013","Florida, FL",Just 3 weeks ago I had my 2nd breast reconstruction My dr said she was not going under and was going to put me saline over the muscle and insition under the breast I woke up and she made insition in my armpit and could not operate there and started new cuts under the breast and had saline mp under. My implants are 480cc on filled to 550 and the other seems like it reads 650cc or 600 not sure. One its actually big than the other since day 1. Am sad cause I was hoping to look good after mastectomy,How will this 2nd surgery will end up? (photo)
If you have had a mastectomy can your natural breast and tissue exspander breast go a bigger size?,"November 13, 2013","Fort Lauderdale, FL","i have had a mastectomy on one breast i have a tissue exspander and my dr is wanting to make mt natural breast reduced saying with tissue exspander will not be as big , he wants to reduce the natural breast that is a b cup i wanted to go a c cup , can i do something to make skin strtch more",If you have had a mastectomy can your natural breast and tissue exspander breast go a bigger size?
Does implant rippling after reconstruction always require surgical revision or can it improve on its own?,"December 9, 2013","Boston, MA","I had a nipple/skin sparing prophylactic bilateral mastectomy with tissue expander placement in June of this year. In October I exchanged for anatomical silicone implants (Mentor MemoryShape). I am having some rippling which seems to be getting worse. Its somewhat visible on the right when I stand upright, but really apparent on both sides when I bend over. Will this require surgical revision? If so, what kind? I am 5'3, approx. 115 lbs. Thank you :)",Does implant rippling after reconstruction always require surgical revision or can it improve on its own?
Had breast cancer in feb 2013 mx in april and stopped smoking real cigarettes?,"December 9, 2013",,Bought an e cig to stop me craving do use it but not loads.having reconstruction in jan can smoking it stop me healing,Had breast cancer in feb 2013 mx in april and stopped smoking real cigarettes?
Support bra and massage after implant exchange?,"December 13, 2013",,"Hello. It's been 10 days since I had tissue expanders replaced by silicone implants, with nipple reconstruction. I still have steri-strips covering stitches. I have 400 cc silicone implants. I am not wearing a bra. Question 1: Should I wear a sports bra to support the implants? Question 2: Do I need to massage the breasts at this point, and if so, how? And for how long? Thanks",Support bra and massage after implant exchange?
"For nipple/areola reconstruction, what is benefit of tattooing skin before making it a nipple during skate graft?","December 13, 2013",,,"For nipple/areola reconstruction, what is benefit of tattooing skin before making it a nipple during skate graft?"
"One breast larger than other after reconstruction, can I ask doctor to replace implants?","December 14, 2013",,"I had reconstruction yesterday. One breast had a tissue expander that was filled and stretched to my regular size (D) the other breast was lifted and gel implant placed in They are both COMPLETELY different sizes the one with the expander replacement is a very flat A-B and the other side is a very flat B-C? Needless to say, this is very shocking and traumatic! Can I have them switched to a larger size? Or am I stuck with this situation?","One breast larger than other after reconstruction, can I ask doctor to replace implants?"
Breast cancer reconstructive surgery- Breast implant question Symmetry off-told only 3 sizes to choose from?,"December 17, 2013",,"I got two helpful answers regarding my recent reconstructive surgery here, however when I spoke to the dr she stated that I'm pretty much done as far as surgery (I showed her how one breast is clearly larger than the other) she showed me three gel implants all the same width around, difference being outward projection (flat, a little better and a little more.. But still pretty flat) I asked if another surgery was possible after healing and she pretty much said NO What can I do if anything?",Breast cancer reconstructive surgery- Breast implant question Symmetry off-told only 3 sizes to choose from?
Redden breast with bleeding two months after final implants from double mastectomy. Any ideas what it is?,"January 19, 2014",,"Had implants put in Nov 18th. Around the 20 of December breast became very red. PS had infectious disease doctor drain breast 70cc of bloody fluid no infection. Two weeks later right side hardened and they pulled another 30cc around 14cc a week I figure, it some kind of slow bleed. Swelled up again, right side hardened and will go through another ultrasound Tuesday. Now experiencing joint pain. Any idea's?",Redden breast with bleeding two months after final implants from double mastectomy. Any ideas what it is?
I had a mastectomy in 2008 and want the tram flap reconstruction. I weigh 245lbs can I get that surgery? (photos),"January 21, 2014","Novi, MI",I really need this surgery I am 32 and its hard to lose weight I also had my thyroid removed and they said it would affect my metabolism. I dont want implants and dont know what to do. Please help,I had a mastectomy in 2008 and want the tram flap reconstruction. I weigh 245lbs can I get that surgery? (photos)
"I am 41, need bilateral mastectomy then 5 weeks of radiation. PS recom. dorsi flap rather than expanders. Does this sound good?","January 31, 2014",,I went to one plastic surgeon who recommended dorsi flap reconstruction due to the fact that I need radiation and he felt it would be a better choice. EVERYONE I know has done the expanders and I never heard of this type of surgery before. I am scared of it and wonder why I have to do something so extreme. I am afraid of Lymphadema? Does trans flap increase this risk? I am also afraid of infection due to my sensitive skin.,"I am 41, need bilateral mastectomy then 5 weeks of radiation. PS recom. dorsi flap rather than expanders. Does this sound good?"
When will I be able to lift weight after Nipple Reconstruction?,"February 4, 2014",,,When will I be able to lift weight after Nipple Reconstruction?
What Surgery Can I Have To Match My Healthy Breast to Reconstructed One (photo)?,"August 19, 2012",,I have had delayed reconstruction following a mastectomy - LD flap and implant. I now need to match the healthy breast to the recon and there are various options. Would it be best to just have a breast uplift or is an implant better? The recon side looks fuller and firmer than the healthy breast,What Surgery Can I Have To Match My Healthy Breast to Reconstructed One (photo)?
Reddened area under left breast following Mastectomy (Photo),"February 5, 2014",,I had bilat mastectomy dec 17 with immediate reconstruction with insertion of tissue expanders. After my 2nd fill the left breast developed a reddened area underneath it. I thought it might be from pressure. The left breast doesn't have the rounded appearance that the right side has ( no red area in the right). Any ideas?,Reddened area under left breast following Mastectomy (Photo)
Could a fat graft feed cancer cells left after DCIS treatment?,"January 28, 2014",,Just came from seeing my BS. I asked about fat grafting and she says that she doesnt recommend it with my DCIS as there is reason to believe that it could FEED any remaining cancer cells not eliminated by my radiation. Has anyone else has heard about fat grafting possibly feeding a cancer i would like to hear about that and/or if anyone knows about any studies i could read on it. Thanks,Could a fat graft feed cancer cells left after DCIS treatment?
If I have the BRCA gene what are the best options or plan of attack for mastectomy and reconstruction?,"February 3, 2014",,"I'm 35, with a family history of breast cancer.. (mom, stage 4 at age 42, paternal grandmother, maternal aunt). I'm in the process of getting tested for the BRCA1 and BRCA2 gene. I've already decided if I do have the gene I will have a double mastectomy. My problem is insurance. I have medi cal in Ca, right now. and I'm not sure they will cover the mastectomy and reconstruction.",If I have the BRCA gene what are the best options or plan of attack for mastectomy and reconstruction?
Different size shape nipples after mastopexy; is there any hope for improvement with further healing? (photo),"February 9, 2014",,"Im almost 3wks post-op w/ 350ccs silicone implants & mastopexy to correct tuberous breasts.Im worried that my nipple size/shape discrepancy will still be obvious when healing is complete. Doctor says nipples are never exact but that just sounds like a cop out & I've yet to meet a surgeon willing to admit s/he did a less than perfect job. I'd hate to think that after $15k, 2 surgeries, one removal, & one infection, I'm left w/unshapely nipples.Any chance they might even out once this is all over?",Different size shape nipples after mastopexy; is there any hope for improvement with further healing? (photo)
Mastectomy 18 months ago w/ expander. Hot to touch and still really uncomfortable (not red) - Help,"March 15, 2014",,"I have had a mastectomy 18 months ago with expander, always hot to touch and really uncomfortable. All that time I blamed my worsening pains in feet, knees, hips all on my cancer meds. Implant replacement 6 weeks ago, that one week after surgery I had zero pain! ... thank God, but gradually the pain has come back. I have asked all the specialists about it and no one knows, do you know ? Could my implant cause body pain? Could the antibiotic solution covering implant have helped with pain ?Please help I am desperate for answers. Am I going mad ?",Mastectomy 18 months ago w/ expander. Hot to touch and still really uncomfortable (not red) - Help
I'm not finding anything on oncoplasty. thoughts?,"March 13, 2014",,"Extra tissue is removed from the affected breast during a lumpectomy, and the tissue from the non affected breast is being used to reconstruct the other breast...basically a breast reduction on NA breast, reconstruction using my own tissues on A breast.",I'm not finding anything on oncoplasty. thoughts?
what is the difference between immediate setting and delayed setting?,"March 8, 2014",,,what is the difference between immediate setting and delayed setting?
