State,University,Town
Texas,University of Mary Hardin-Baylor,Belton
Texas,The University of Texas Permian Basin,Odessa
Texas,University of St. Thomas,Houston
Texas,South Texas College of Law,Houston
Texas,South Texas College,McAllen
Texas,LeTourneau University,Longview
Texas,Our Lady of the Lake University,San Antonio
Texas,Hardin-Simmons University,Abilene
Texas,Texas Wesleyan University,Fort Worth
Texas,University of Houston-Victoria,Victoria
Texas,McMurry University,Abilene
Texas,Wayland Baptist University,Plainview 
Texas,Southwestern Adventist University,Keene
Texas,Huston-Tillotson University,Austin
Texas,Sul Ross State University,Alpine
Texas,Lubbock Christian University,Lubbock
Texas,Texas Lutheran University,Seguin
Texas,Texas A&M University-Texarkana,Texarkana
Texas,East Texas Baptist University,Marshall
Texas,The University of Texas Health Science Center at Tyler,Tyler
Texas,Wiley College,Marshall
Texas,Southwestern Assemblies of God University,Waxahachie
Texas,Midland College,Midland
Texas,Howard Payne University,Brownwood
Texas,Parker University,Dallas
Texas,Schreiner University,Kerrville
Texas,Brazosport College,Lake Jackson
Texas,Texas A&M University-San Antonio,San Antonio
Texas,Amberton University,Garland
Texas,Texas College,Tyler
Texas,Criswell College,Dallas
Texas,Jarvis Christian College,Hawkins
Texas,Dallas Christian College,Dallas
Texas,College of Biblical Studies,Houston 
Texas,Baptist University of the Americas,San Antonio
Texas,Arlington Baptist University,Arlington
Texas,The King's University,Southlake
Texas,Wade College,Dallas
Texas,Paul Quinn College,Dallas
Tennessee,Vanderbilt University,Nashville
Tennessee,"The University of Tennessee, Knoxville",Knoxville 
Tennessee,The University of Tennessee at Martin,Martin 
Tennessee,Middle Tennessee State University,Murfreesboro
Tennessee,The University of Memphis,Memphis 
Tennessee,East Tennessee State University,Johnson City 
Tennessee,The University of Tennessee at Chattanooga,Chattanooga
Tennessee,Tennessee Tech University,Cookeville
Tennessee,Belmont University,Nashville
Tennessee,Rhodes College,Memphis
Tennessee,Sewanee: The University of the South,Sewanee
Tennessee,Tennessee State University,Nashville
Tennessee,Carson-Newman University,Jefferson City
Tennessee,Austin Peay State University,Clarksville
Tennessee,The University of Tennessee Health Science Center,Memphis
Tennessee,Fisk University,Nashville
Tennessee,Lipscomb University,Nashville
Tennessee,Union University,Jackson
Tennessee,Southern Adventist University,Collegedale
Tennessee,Lincoln Memorial University,Harrogate
Tennessee,Christian Brothers University,Memphis
Tennessee,Meharry Medical College,Nashville
Tennessee,King University,Bristol
Tennessee,Lee University,Cleveland
Tennessee,Trevecca Nazarene University,Nashville
Tennessee,Bryan College,Dayton 
Tennessee,Freed-Hardeman University,Henderson
Tennessee,Tusculum University,Greeneville
Tennessee,Milligan University,Elizabethton 
Tennessee,Maryville College,Maryville
Tennessee,Cumberland University,Lebanon
Tennessee,LeMoyne-Owen College,Memphis
Tennessee,Lane College,Jackson
Tennessee,South College,Knoxville
Tennessee,Johnson University,Knoxville 
Tennessee,"Bethel University, Tennessee",McKenzie
Tennessee,Southern College of Optometry,Memphis
Tennessee,The University of Tennessee Southern,Pulaski
Tennessee,American Baptist College,Nashville
Tennessee,"Aquinas College, Tennessee",Nashville
Tennessee,Tennessee Wesleyan University,Athens 
Tennessee,Welch College,Gallatin
Tennessee,Watkins College of Art,Nashville
Tennessee,Baptist Health Sciences University,Memphis
Tennessee,Middle Tennessee School of Anesthesia,Madison
Tennessee,Richmont Graduate University,Chattanooga
South Dakota,University of South Dakota,Vermillion
South Dakota,South Dakota State University,Brookings
South Dakota,Dakota State University,Madison 
South Dakota,South Dakota School of Mines and Technology,Rapid City
South Dakota,Augustana University,Sioux Falls
South Dakota,Northern State University,Aberdeen
South Dakota,Black Hills State University,Spearfish
South Dakota,University of Sioux Falls,Sioux Falls
South Dakota,National American University,Rapid City 
South Dakota,Dakota Wesleyan University,Mitchell
South Dakota,Mount Marty University,Yankton
South Dakota,Presentation College,Aberdeen
Ohio,The Ohio State University,Columbus 
Ohio,University of Cincinnati,Cincinnati
Ohio,Case Western Reserve University,Cleveland
Ohio,Kent State University,Kent 
Ohio,Bowling Green State University,Bowling Green 
Ohio,Ohio University,Athens 
Ohio,University of Dayton,Dayton
Ohio,University of Akron,Akron 
Ohio,Miami University,Oxford 
South Carolina,University of South Carolina,Columbia 
South Carolina,Clemson University,Clemson
South Carolina,Medical University of South Carolina,Charleston
South Carolina,College of Charleston,Charleston
South Carolina,Furman University,Greenville
South Carolina,Coastal Carolina University,Conway 
South Carolina,Winthrop University,Rock Hill
South Carolina,"The Citadel, The Military College of South Carolina",Charleston
South Carolina,Bob Jones University,Greenville
South Carolina,Wofford College,Spartanburg
South Carolina,Lander University,Greenwood
Ohio,University of Toledo,Toledo
Ohio,Wright State University,Dayton 
Ohio,Oberlin College,Oberlin
Ohio,Cleveland State University,Cleveland
Ohio,Kenyon College,Gambier
Ohio,Xavier University,Cincinnati
Ohio,Youngstown State University,Youngstown
Ohio,Denison University,Granville
Ohio,Antioch University,Yellow Springs 
Ohio,The College of Wooster,Wooster
Ohio,Cedarville University,Cedarville
Ohio,Ohio Wesleyan University,Delaware 
Ohio,Bluffton University,Bluffton
Ohio,Ashland University,Ashland
Rhode Island,Brown University,Providence
Rhode Island,University of Rhode Island,Kingston 
Rhode Island,Rhode Island School of Design,Providence
Rhode Island,Johnson and Wales University,Providence 
Rhode Island,Rhode Island College,Providence
Rhode Island,Providence College,Providence
Rhode Island,Roger Williams University,Bristol
Rhode Island,Bryant University,Smithfield
Rhode Island,Salve Regina University,Newport 
Rhode Island,New England Institute of Technology,East Greenwich
South Carolina,Charleston Southern University,Charleston
South Carolina,South Carolina State University,Orangeburg
South Carolina,Francis Marion University,Florence
South Carolina,University of South Carolina-Aiken,Aiken
South Carolina,University of South Carolina-Upstate,Spartanburg
South Carolina,Presbyterian College,Clinton
South Carolina,Voorhees College,Denmark
South Carolina,Converse College,Spartanburg
South Carolina,Anderson University,Anderson
South Carolina,Columbia International University,Columbia
South Carolina,North Greenville University,Tigerville
South Carolina,"Columbia College, South Carolina",Columbia
South Carolina,University of South Carolina-Beaufort,Bluffton
Ohio,Franklin University,Columbus 
Ohio,John Carroll University,University Heights
Ohio,Ohio Northern University,Ada
Ohio,Baldwin Wallace University,Berea
Ohio,Capital University,Columbus
Ohio,University of Findlay,Findlay
Ohio,Marietta College,Marietta
Ohio,Muskingum University,New Concord
Ohio,Otterbein University,Westerville
Ohio,Wittenberg University,Springfield
Ohio,Franciscan University of Steubenville,Steubenville
Ohio,Walsh University,North Canton
Ohio,Mount St. Joseph University,Cincinnati
Ohio,Hiram College,Hiram
Ohio,Shawnee State University,Portsmouth
Pennsylvania,University of Pennsylvania,Philadelphia
South Carolina,Limestone College,Gaffney
South Carolina,Benedict College,Columbia
South Carolina,Erskine College,Due West
South Carolina,Newberry College,Newberry
South Carolina,Claflin University,Orangeburg
South Carolina,Southern Wesleyan University,Central
South Carolina,Coker University,Hartsville
South Carolina,Morris College,Sumter
South Carolina,Allen University,Columbia
North Dakota,North Dakota State University,Fargo
North Dakota,University of North Dakota,Grand Forks
North Dakota,University of Mary,Bismarck
North Dakota,Minot State University,Minot
North Dakota,Bismarck State College,Bismarck
North Dakota,Valley City State University,Valley City
North Dakota,University of Jamestown,Jamestown
North Dakota,Dickinson State University,Dickinson
North Dakota,Mayville State University,Mayville
North Dakota,Trinity Bible College,Ellendale
North Carolina,University of North Carolina at Chapel Hill,Chapel Hill
North Carolina,Duke University,Durham
North Carolina,North Carolina State University,Raleigh
North Carolina,University of North Carolina at Charlotte,Charlotte
North Carolina,Wake Forest University,Winston-Salem
North Carolina,Appalachian State University,Boone
North Carolina,University of North Carolina at Greensboro,Greensboro
North Carolina,East Carolina University,Greenville
North Carolina,Elon University,Elon
North Carolina,University of North Carolina Wilmington,Wilmington
North Carolina,Davidson College,Davidson
North Carolina,Western Carolina University,Cullowhee 
North Carolina,North Carolina Agricultural and Technical State University,Greensboro
North Carolina,University of North Carolina at Asheville,Asheville
North Carolina,Campbell University,Buies Creek
North Carolina,North Carolina Central University,Durham
North Carolina,High Point University,High Point
Ohio,Heidelberg University,Tiffin
Ohio,Central State University,Wilberforce
Ohio,Lourdes University,Sylvania
Ohio,Cleveland Institute of Art,Cleveland
Ohio,Columbus College of Art and Design,Columbus
Ohio,Malone University,Canton
Ohio,University of Mount Union,Alliance
Ohio,Tiffin University,Tiffin 
Ohio,Air Force Institute of Technology,Wright-Patterson AFB
Ohio,Cleveland Institute of Music,Cleveland
Ohio,Northeast Ohio Medical University,Rootstown
Ohio,Wilmington College,Wilmington
Ohio,Ohio Dominican University,Columbus
Ohio,Mount Vernon Nazarene University,Mount Vernon 
Ohio,Notre Dame College,Cleveland
Ohio,University of Northwestern Ohio,Lima
Ohio,Ohio Christian University,Circleville
Ohio,Defiance College,Defiance
Ohio,University of Rio Grande,Rio Grande
Ohio,Ursuline College,Pepper Pike
Ohio,Wilberforce University,Wilberforce
Pennsylvania,Penn State University,University Park 
Pennsylvania,Carnegie Mellon University,Pittsburgh 
Pennsylvania,University of Pittsburgh,Pittsburgh 
Pennsylvania,Temple University,Philadelphia 
Pennsylvania,Drexel University,Philadelphia
Pennsylvania,Swarthmore College,Swarthmore
Pennsylvania,Lehigh University,Bethlehem
Pennsylvania,Thomas Jefferson University,Philadelphia
Pennsylvania,Villanova University,Villanova
Pennsylvania,Bryn Mawr College,Bryn Mawr
Pennsylvania,Bucknell University,Lewisburg
Pennsylvania,Dickinson College,Carlisle
Pennsylvania,Duquesne University,Pittsburgh
Pennsylvania,Lock Haven University,Lock Haven 
Pennsylvania,Haverford College,Haverford
Pennsylvania,Indiana University of Pennsylvania,Indiana
Pennsylvania,Gettysburg College,Gettysburg
Pennsylvania,Saint Joseph's University,Philadelphia
Pennsylvania,West Chester University of Pennsylvania,West Chester
North Carolina,University of North Carolina at Pembroke,Pembroke
North Carolina,Fayetteville State University,Fayetteville
North Carolina,Queens University of Charlotte,Charlotte
North Carolina,Meredith College,Raleigh
North Carolina,Winston-Salem State University,Winston-Salem
North Carolina,Guilford College,Greensboro
North Carolina,University of North Carolina School of the Arts,Winston-Salem
North Carolina,Warren Wilson College,Swannanoa
North Carolina,Bennett College,Greensboro
North Carolina,Pfeiffer University,Misenheimer
North Carolina,Lenoir-Rhyne University,Hickory
North Carolina,North Carolina Wesleyan College,Rocky Mount 
North Carolina,Belmont Abbey College,Belmont
North Carolina,Methodist University,Fayetteville
North Carolina,Gardner-Webb University,Boiling Springs 
North Carolina,Montreat College,Montreat 
North Carolina,Johnson C. Smith University,Charlotte
North Carolina,Lees-McRae College,Banner Elk
North Carolina,Elizabeth City State University,Elizabeth City
North Carolina,Catawba College,Salisbury
Ohio,Union Institute & University,Cincinnati
Ohio,Art Academy of Cincinnati,Cincinnati
Ohio,Lake Erie College,Painesville
Ohio,Mount Carmel College of Nursing,Columbus
Ohio,Mercy College of Ohio,Toledo
Ohio,Kettering College,Kettering
Ohio,God's Bible School and College,Cincinnati
Ohio,Good Samaritan College of Nursing and Health Science,Cincinnati
Ohio,Tri-State Bible College,South Point 
Ohio,Ohio University Southern,Ironton
Ohio,Ohio University-Chillicothe,Chillicothe
Pennsylvania,Shippensburg University of Pennsylvania,Shippensburg
Pennsylvania,Lafayette College,Easton
Pennsylvania,Franklin and Marshall College,Lancaster
Pennsylvania,Widener University,Chester 
Pennsylvania,University of Scranton,Scranton
Pennsylvania,Seton Hill University,Greensburg
Pennsylvania,Millersville University of Pennsylvania,Millersville
Pennsylvania,Messiah University,Mechanicsburg
Pennsylvania,Elizabethtown College,Elizabethtown
Pennsylvania,Muhlenberg College,Allentown
Pennsylvania,Bloomsburg University of Pennsylvania,Bloomsburg
Pennsylvania,La Salle University,Philadelphia
Pennsylvania,Arcadia University,Glenside
Pennsylvania,Kutztown University of Pennsylvania,Kutztown
Pennsylvania,Slippery Rock University of Pennsylvania,Slippery Rock
Pennsylvania,The University of the Arts,Philadelphia
Pennsylvania,Wilkes University,Wilkes-Barre
Pennsylvania,Chatham University,Pittsburgh
Pennsylvania,Pennsylvania Academy of the Fine Arts,Philadelphia
Pennsylvania,Allegheny College,Meadville
Pennsylvania,Ursinus College,Collegeville
North Carolina,Brevard College,Brevard
North Carolina,Chowan University,Murfreesboro
North Carolina,Barton College,Wilson
North Carolina,Wingate University,Wingate
North Carolina,Shaw University,Raleigh
North Carolina,Mars Hill University,Mars Hill
North Carolina,Saint Augustine's University,Raleigh
North Carolina,William Peace University,Raleigh
North Carolina,Salem College,Winston-Salem
North Carolina,University of Mount Olive,Mount Olive 
North Carolina,Livingstone College,Salisbury
North Carolina,St Andrews University,Laurinburg
North Carolina,Greensboro College,Greensboro
North Carolina,Carolina University,Winston Salem 
North Carolina,Mid-Atlantic Christian University,Elizabeth City
North Carolina,Cabarrus College of Health Sciences,Concord
Pennsylvania,Pennsylvania College of Technology,Williamsport
Pennsylvania,King's College,Wilkes-Barre
Pennsylvania,Moravian College,Bethlehem
Pennsylvania,Juniata College,Huntingdon
Pennsylvania,Clarion University of Pennsylvania,Clarion
Pennsylvania,York College of Pennsylvania,York
Pennsylvania,Grove City College,Grove City
Pennsylvania,Susquehanna University,Selinsgrove
Pennsylvania,Lycoming College,Williamsport
Pennsylvania,Edinboro University of Pennsylvania,Edinboro
Pennsylvania,DeSales University,Center Valley
Pennsylvania,Robert Morris University,Moon Township 
Pennsylvania,East Stroudsburg University,East Stroudsburg
Pennsylvania,Eastern University,St. Davids
Pennsylvania,Mercyhurst University,Erie
Pennsylvania,Curtis Institute of Music,Philadelphia
Pennsylvania,The American College of Financial Services,Bryn Mawr
Pennsylvania,Washington & Jefferson College,Washington
Pennsylvania,Point Park University,Pittsburgh
Pennsylvania,Lincoln University,Lincoln University
Pennsylvania,Saint Vincent College,Latrobe
Pennsylvania,Gwynedd Mercy University,Gwynedd Valley
Pennsylvania,California University of Pennsylvania,California
Pennsylvania,"Westminster College, Pennsylvania",New Wilmington
Pennsylvania,Gannon University,Erie
Pennsylvania,Lebanon Valley College,Annville
Pennsylvania,Alvernia University,Reading
Pennsylvania,Marywood University,Scranton
Pennsylvania,Geneva College,Beaver Falls
Pennsylvania,Albright College,Reading
Pennsylvania,Saint Francis University,Loretto
Pennsylvania,Mansfield University of Pennsylvania,Mansfield
Pennsylvania,Delaware Valley University,Doylestown
Pennsylvania,Misericordia University,Dallas
Pennsylvania,Cedar Crest College,Allentown
Pennsylvania,Immaculata University,Immaculata 
Pennsylvania,Wilson College,Chambersburg
Pennsylvania,Rosemont College,Rosemont
Pennsylvania,Neumann University,Aston
Pennsylvania,Lancaster Bible College,Lancaster
Pennsylvania,Cabrini University,Radnor
Pennsylvania,Harrisburg University of Science and Technology,Harrisburg
Pennsylvania,Penn State College of Medicine,Hershey
Pennsylvania,Moore College of Art and Design,Philadelphia
Pennsylvania,Chestnut Hill College,Philadelphia
Pennsylvania,Carlow University,Pittsburgh
Pennsylvania,Waynesburg University,Waynesburg
Pennsylvania,Cheyney University of Pennsylvania,Cheyney
Pennsylvania,La Roche University,Pittsburgh
Pennsylvania,Mount Aloysius College,Cresson
Pennsylvania,Salus University,Elkins Park 
Pennsylvania,Keystone College,La Plume
Pennsylvania,Cairn University,Langhorne 
Pennsylvania,Holy Family University,Philadelphia
Pennsylvania,Clarks Summit University,Clarks Summit
Pennsylvania,Thiel College,Greenville
Pennsylvania,Central Penn College,Summerdale
Pennsylvania,Peirce College,Philadelphia
Pennsylvania,Pennsylvania College of Art and Design,Lancaster
Pennsylvania,University of Valley Forge,Phoenixville
Pennsylvania,Gratz College,Melrose Park
Pennsylvania,Bryn Athyn College,Bryn Athyn
Pennsylvania,Pennsylvania College of Health Sciences,Lancaster
Pennsylvania,WON Institute of Graduate Studies,Glenside
Pennsylvania,Geisinger Commonwealth School of Medicine,Scranton
New Jersey,Princeton University,Princeton
New Jersey,"Rutgers, The State University of New Jersey",New Brunswick 
New Jersey,New Jersey Institute of Technology,Newark
New Jersey,Seton Hall University,South Orange
New Jersey,Monmouth University,West Long Branch
New Jersey,Montclair State University,Montclair
New Jersey,Rowan University,Glassboro 
New Jersey,Stevens Institute of Technology,Hoboken
New Jersey,Drew University,Madison
New Jersey,Rider University,Lawrenceville 
New Jersey,Fairleigh Dickinson University,Teaneck 
New Jersey,The College of New Jersey,Ewing
New Jersey,Stockton University,Galloway 
New Jersey,William Paterson University,Wayne
New Jersey,Kean University,Union 
New Jersey,Ramapo College of New Jersey,Mahwah
New Jersey,New Jersey City University,Jersey City
New Jersey,Saint Peter's University,Jersey City
New Jersey,Georgian Court University,Lakewood
New Jersey,Caldwell University,Caldwell
New Jersey,Centenary University,Hackettstown
New Jersey,Thomas Edison State University,Trenton
Nevada,"University of Nevada, Reno",Reno
Nevada,"University of Nevada, Las Vegas",Las Vegas
Nevada,College of Southern Nevada,Las Vegas
Nevada,Great Basin College,Elko 
Nevada,Western Nevada College,Carson City
Nevada,Sierra Nevada University,Incline Village
Nevada,Roseman University of Health Sciences,Henderson
Nevada,Nevada State College,Henderson
New Jersey,Felician University,Lodi 
New Jersey,Bloomfield College,Bloomfield
New Jersey,Saint Elizabeth University,Morristown
New Jersey,Pillar College,Newark 
New Hampshire,Dartmouth College,Hanover
New Hampshire,University of New Hampshire,Durham 
New Hampshire,Southern New Hampshire University,Manchester
New Hampshire,Plymouth State University,Plymouth
New Hampshire,Saint Anselm College,Manchester
New Hampshire,Keene State College,Keene
New Hampshire,New England College,Henniker 
New Hampshire,Rivier University,Nashua
New Hampshire,Franklin Pierce University,Rindge 
New Hampshire,Colby-Sawyer College,New London
New Hampshire,Granite State College,Concord
New Hampshire,Thomas More College of Liberal Arts,Merrimack
New Hampshire,Magdalen College of the Liberal Arts,Warner
Missouri,Washington University in St. Louis,St. Louis
Missouri,University of Missouri,Columbia
Missouri,University of Missouri-Kansas City,Kansas City
Missouri,Saint Louis University,St. Louis 
Missouri,Missouri State University,Springfield 
Missouri,University of Missouri-St. Louis,St. Louis
Missouri,Missouri University of Science and Technology,Rolla
Nebraska,University of Nebraska-Lincoln,Lincoln
Nebraska,Creighton University,Omaha
Nebraska,University of Nebraska at Omaha,Omaha
Nebraska,University of Nebraska Medical Center,Omaha
Nebraska,University of Nebraska at Kearney,Kearney
Nebraska,Bellevue University,Bellevue 
Nebraska,Chadron State College,Chadron
Nebraska,Wayne State College,Wayne
Nebraska,Doane University,Crete
Nebraska,Nebraska Wesleyan University,Lincoln 
Montana,Montana State University,Bozeman
Montana,The University of Montana,Missoula
Montana,Montana State University Billings,Billings
Montana,Montana Tech,Butte
Montana,Carroll College,Helena
Montana,Rocky Mountain College,Billings
Montana,Montana State University-Northern,Havre 
Montana,The University of Montana Western,Dillon
Montana,University of Providence,Great Falls
New Hampshire,Antioch University New England,Keene
Missouri,Maryville University,St. Louis
Missouri,Webster University,St. Louis
Missouri,Truman State University,Kirksville
Missouri,Southeast Missouri State University,Cape Girardeau
Missouri,University of Central Missouri,Warrensburg
Missouri,Northwest Missouri State University,Maryville 
Missouri,Columbia College,Columbia
Missouri,Park University,Parkville 
Missouri,Lindenwood University,St. Charles
Missouri,Drury University,Springfield 
Missouri,A.T. Still University,Kirksville 
Missouri,Evangel University,Springfield
Missouri,"Lincoln University, Missouri",Jefferson City
Missouri,Missouri Western State University,St. Joseph
Missouri,College of the Ozarks,Point Lookout
Missouri,Rockhurst University,Kansas City
Nebraska,"Concordia University, Nebraska",Seward
Nebraska,College of Saint Mary,Omaha
Nebraska,Hastings College,Hastings
Nebraska,Peru State College,Peru
Nebraska,Nebraska Methodist College,Omaha
Nebraska,"Union College, Nebraska",Lincoln
Nebraska,Clarkson College,Omaha
Nebraska,York College,York
Nebraska,Midland University,Fremont
Nebraska,Bryan College of Health Sciences,Lincoln
Nebraska,Nebraska Christian College,Papillion
Missouri,Missouri Southern State University,Joplin
Missouri,Avila University,Kansas City
Missouri,Stephens College,Columbia
Missouri,William Jewell College,Liberty
Missouri,Central Methodist University,Fayette
Missouri,Logan University,Chesterfield
Missouri,Kansas City Art Institute,Kansas City
Missouri,Fontbonne University,St. Louis
Missouri,"Westminster College, Missouri",Fulton
Missouri,Southwest Baptist University,Bolivar 
Missouri,Kansas City University,Kansas City
Missouri,Culver-Stockton College,Canton
Missouri,William Woods University,Fulton
Missouri,Hannibal-LaGrange University,Hannibal
Missouri,Missouri Baptist University,St. Louis
Missouri,Harris-Stowe State University,St. Louis
Missouri,Missouri Valley College,Marshall
Missouri,University of Health Sciences and Pharmacy in St. Louis,St. Louis
Missouri,Cottey College,Nevada
Missouri,Ozark Christian College,Joplin
Missouri,Goldfarb School of Nursing at Barnes-Jewish College,St. Louis
Missouri,Central Christian College of the Bible,Moberly 
Missouri,Calvary University,Kansas City
Missouri,Cox College,Springfield
Missouri,Baptist Bible College,Springfield
Missouri,St. Louis Christian College,Florissant
Missouri,Research College of Nursing,Kansas City
New Mexico,University of New Mexico,Albuquerque 
New Mexico,New Mexico State University,Las Cruces
New Mexico,New Mexico Institute of Mining and Technology,Socorro
New Mexico,Eastern New Mexico University,Portales
New Mexico,New Mexico Highlands University,Las Vegas
New Mexico,Western New Mexico University,Silver City
New Mexico,University of the Southwest,Hobbs
New Mexico,Northern New Mexico College,Espanola 
New Mexico,"Southwestern College, Santa Fe",Santa Fe
New York,Cornell University,Ithaca
New York,Columbia University in the City of New York,New York City
New York,New York University,New York City 
New York,University of Rochester,Rochester
New York,"University at Buffalo, State University of New York",Buffalo 
New York,Syracuse University,Syracuse
New York,Fordham University,The Bronx 
New York,Rochester Institute of Technology,Rochester
New York,Rensselaer Polytechnic Institute,Troy 
New York,Stony Brook University,Stony Brook
New York,"University at Albany, State University of New York",Albany
New York,The New School,New York City
New York,"Binghamton University, State University of New York",Vestal
New York,United States Military Academy,West Point
New York,Bard College,Annandale-on-Hudson
New York,Pace University,New York City 
Mississippi,Mississippi State University,Mississippi State 
Mississippi,University of Mississippi,University
Mississippi,University of Southern Mississippi,Hattiesburg
Mississippi,University of Mississippi Medical Center,Jackson
Mississippi,Jackson State University,Jackson
Mississippi,Mississippi College,Clinton
Mississippi,Tougaloo College,Tougaloo 
Mississippi,Delta State University,Cleveland
Mississippi,Mississippi University for Women,Columbus
Minnesota,University of Minnesota-Twin Cities,Minneapolis 
Minnesota,Carleton College,Northfield
Minnesota,University of St. Thomas,Saint Paul 
Minnesota,Rasmussen College,St. Cloud 
Minnesota,"Minnesota State University, Mankato",Mankato 
Minnesota,St. Olaf College,Northfield
Minnesota,College of Saint Benedict/Saint John's University,St. Joseph 
Minnesota,Macalester College,Saint Paul
Minnesota,St. Cloud State University,St. Cloud
New York,Vassar College,Poughkeepsie
New York,Marist College,Poughkeepsie
New York,Hofstra University,Hempstead
New York,Yeshiva University,New York City
New York,Ithaca College,Ithaca
New York,The Rockefeller University,New York City
New York,Barnard College,New York City
New York,St. John's University,Queens 
New York,Fashion Institute of Technology,New York City
New York,School of Visual Arts,New York City
New York,Colgate University,Hamilton
New York,Hamilton College,Clinton
New York,Pratt Institute,Brooklyn
New York,Long Island University,Brooklyn 
New York,State University of New York at Oswego,Oswego
Mississippi,Belhaven University,Jackson
Mississippi,William Carey University,Hattiesburg 
Mississippi,Millsaps College,Jackson
Mississippi,Alcorn State University,Lorman
Mississippi,Mississippi Valley State University,Itta Bena
Mississippi,Rust College,Holly Springs
Mississippi,Blue Mountain College,Blue Mountain
Mississippi,Southeastern Baptist College,Laurel
Minnesota,Hamline University,Saint Paul
Minnesota,Gustavus Adolphus College,St. Peter
Minnesota,St. Catherine University,Saint Paul
Minnesota,Augsburg University,Minneapolis
Minnesota,Minnesota State University Moorhead,Moorhead
Minnesota,Bethel University,Saint Paul 
Minnesota,The College of St. Scholastica,Duluth 
Minnesota,Winona State University,Winona
Minnesota,Concordia College,Moorhead
Minnesota,"Concordia University, St. Paul",Saint Paul
Minnesota,Southwest Minnesota State University,Marshall
Minnesota,Saint Mary's University of Minnesota,Winona 
Minnesota,Minneapolis College of Art and Design,Minneapolis
Minnesota,Bemidji State University,Bemidji
Minnesota,Mitchell Hamline School of Law,Saint Paul
Minnesota,University of Northwestern - St. Paul,Saint Paul 
Minnesota,Metropolitan State University,Saint Paul
Minnesota,Mayo Clinic College of Medicine and Science,Rochester
Minnesota,Crown College,St. Bonifacius 
Minnesota,Northwestern Health Sciences University,Bloomington
Minnesota,North Central University,Minneapolis
Minnesota,Dunwoody College of Technology,Minneapolis
New York,Clarkson University,Potsdam 
New York,Skidmore College,Saratoga Springs
New York,SUNY College of Environmental Science and Forestry,Syracuse
New York,The Culinary Institute of America,Hyde Park 
New York,Union College,Schenectady
New York,The Juilliard School,New York City
New York,Hobart and William Smith Colleges,Geneva
New York,SUNY Geneseo,Geneseo
New York,Adelphi University,Garden City
New York,State University of New York at New Paltz,New Paltz
New York,New York Institute of Technology,Old Westbury 
New York,SUNY Upstate Medical University,Syracuse
New York,Siena College,Loudonville
New York,The Cooper Union for the Advancement of Science and Art,New York City
New York,Touro College,New York City 
New York,SUNY College at Oneonta,Oneonta
Massachusetts,Massachusetts Institute of Technology,Cambridge
Massachusetts,Harvard University,Cambridge
Massachusetts,Boston University,Boston 
Massachusetts,Tufts University,Medford
Maryland,Johns Hopkins University,Baltimore 
Maryland,University of Maryland,College Park
Maryland,"University of Maryland, Baltimore County",Baltimore
Maryland,"University of Maryland, Baltimore",Baltimore
Maryland,Towson University,Towson
Maryland,University of Baltimore,Baltimore
Maryland,United States Naval Academy,Annapolis
Maryland,Loyola University Maryland,Baltimore
Maryland,Morgan State University,Baltimore
Maryland,Frostburg State University,Frostburg 
Maryland,Salisbury University,Salisbury
Maryland,Goucher College,Towson
Maryland,Uniformed Services University of the Health Sciences,Bethesda
Maryland,Maryland Institute College of Art,Baltimore
Maryland,Washington College,Chestertown
Maryland,Hood College,Frederick
Maryland,St. Mary's College of Maryland,St. Mary's City
Maryland,McDaniel College,Westminster 
Maryland,Capitol Technology University,Laurel
Michigan,University of Michigan,Ann Arbor 
Michigan,Michigan State University,East Lansing
Michigan,Wayne State University,Detroit
Michigan,Michigan Technological University,Houghton
Michigan,Western Michigan University,Kalamazoo
Michigan,Grand Valley State University,Allendale 
Michigan,Calvin University,Grand Rapids
Michigan,Central Michigan University,Mount Pleasant
Michigan,Ferris State University,Big Rapids
Michigan,Oakland University,Rochester
Michigan,Eastern Michigan University,Ypsilanti 
Michigan,Hillsdale College,Hillsdale
Michigan,Northern Michigan University,Marquette
Michigan,Hope College,Holland
Michigan,Andrews University,Berrien Springs
Michigan,University of Detroit Mercy,Detroit
Michigan,Lake Superior State University,Sault Ste. Marie
Michigan,Kettering University,Flint
Maine,The University of Maine,Orono
Maine,Colby College,Waterville
Maine,Bowdoin College,Brunswick
Maine,Bates College,Lewiston
Maine,University of New England,Biddeford 
Maine,University of Southern Maine,Portland 
Maine,Husson University,Bangor
Maine,Unity College,Unity
Maine,College of the Atlantic,Bar Harbor
Maine,Maine College of Art,Portland
Maine,Maine Maritime Academy,Castine
Maine,University of Maine at Augusta,Augusta
Maine,Thomas College,Waterville
Maine,Saint Joseph's College of Maine,Standish 
Maine,University of Maine at Presque Isle,Presque Isle 
Maine,University of Maine at Fort Kent,Fort Kent
Maine,University of Maine at Machias,Machias
Maine,University of Maine at Farmington,Farmington
Minnesota,Martin Luther College,New Ulm
Minnesota,Adler Graduate School,Minnetonka
Minnesota,Bethany Lutheran College,Mankato
Minnesota,Oak Hills Christian College,Bemidji
New York,Sarah Lawrence College,Bronxville
New York,The State University of New York at Potsdam,Potsdam
New York,Icahn School of Medicine at Mount Sinai,New York City
New York,SUNY Cortland,Cortland
New York,SUNY Downstate Medical Center,Brooklyn
New York,St. Lawrence University,Canton
New York,SUNY Empire State College,Saratoga Springs
New York,The College at Brockport,Brockport
New York,SUNY Polytechnic Institute,Utica
