Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
What should I do for my necrosis? (Photo),1-Feb-15,"Johnston, RI","I had a bilateral mastectomy on 12/2 with immediate reconstruction with implant. The right side developed necrosis. I now have a hole in my right breast. What should I do? My PS doesn't seem to be concerned, but I'm freaking out.",What should I do for my necrosis? (Photo),After Procedure Only,options
Unhappy w/Mentor 330 cc's med height mod plus implants after double mastectomy. Too flat! (Photo),3-Mar-15,"Gloversville, NY","my expanders looked odd when naked but good with clothes on.i wanted that same fullness and size, but more natural looking. Dr put in anatomical shaped implants, but they give me no fullness in clothes at all , while .I had a total of 330cc's plus the initial cc's he gave me at the time of the mastectomy. He will swap them for high or ultra high profile round implants with 400 cc's but says I won't like them when I'm nude! Gee! What do I do?i'm 5'3 1/2"" tall 124lbs",Unhappy w/Mentor 330 cc's med height mod plus implants after double mastectomy. Too flat! (Photo),After Procedure Only,options
"What do I do with skin ulcers on my breasts that developed after a double mastectomy, but before the expanders were removed?",12-May-15,Indiana,"Had small amt of breast cancer. Doc did 2x mastectomy/same day reconstruction. Had Alloderm & expanders. Before expanders were removed got 3 ulcers on 1 breast. Doc went ahead & removed expanders & placed implants. Soon after had 18 on 1 side & 7 on other.Started with a hard ""string"" that poked out & if I pulled it, an ulcer formed. If I didn't, clothes rubbed it and made ulcer. Have had ulcers for 16 months. Saw 20 docs last yr..All said can't help me.In much pain as strings r still coming out.","What do I do with skin ulcers on my breasts that developed after a double mastectomy, but before the expanders were removed?",After Procedure Only,options
"Had tram flap Sept 2013, then Feb 2014 I had a severe hernia repair, went to ER did CT scan, verified hernia. What can I do?",12-Jun-15,"Santa Fe, NM",Been in pain nauseous and vomiting the past few days. My Dr no longer in practice,"Had tram flap Sept 2013, then Feb 2014 I had a severe hernia repair, went to ER did CT scan, verified hernia. What can I do?",After Procedure Only,options
Scar tissue and pain. Is it time to replace the implant?,26-Jun-15,"Mooresville, IN",Have had a silicone breast implant in my right breast secondary to DCIS. I've had it 14 years and have several areas of scar tissue between the implant and chest wall. The areas are really becoming sore. Is it time to replace the implant or would it be really difficult to break the scar tissue from around it?,Scar tissue and pain. Is it time to replace the implant?,After Procedure Only,options
"How scar fibrosis can be avoided? if it can't be avoided, then how can be treated after surgery?",27-Jun-15,"Los Angeles, CA","I had a DMX (modified radical mastectomy) Both scars ended being with fibrosis (thick, white and a bit painful as if the flap tissue were adhered to the muscle). How can this be avoided for next surgeries (expander and implants) or if it can't be avoided cos perhaps it's the way my body reacts. How this type of scar can be treated to leave it thinner and with a better look? Thank you.","How scar fibrosis can be avoided? if it can't be avoided, then how can be treated after surgery?",After Procedure Only,options
How do I care for reconstructed breast (post expander & implant) after radiation and mastectomy?,1-Jul-15,"Honolulu, HI","Cancer History: Had radiation after lumpectomy. Cancer returned; had skin sparing mastectomy with immediate expander under muscle with alloderm & fat grafting. Had 2 more fat graftings, expander was replace 1 year later with implant larger than expander; lots of revision surgery.. How do I care for this reconstructed breast? How prevent ruptures? Need bra for support? Promote healthy radiated skin? Can I lay on my stomach? Activities/exercises to avoid? Help!.",How do I care for reconstructed breast (post expander & implant) after radiation and mastectomy?,After Procedure Only,options
Reconstructed breasts post breast cancer with Natrelle cohesive gel implants and rippling? Can this be fixed? (Photo),13-Oct-15,"Massachusetts, MA","I had breast cancer with nipple sparing double mastectomy, tissue expanders removed and now have 410 natrelle cohesive gel anatomically shaped implants in. Cancer side has that divet/rippling in it, has also been radiated. Haven't seen my doctor post op yet and can't handle the wait. How can this be fixed? Is it more surgery? Can you do a fat graft to fix this? I am in my 20s and having a hard time mentally with this being the permanant ""new"" me. Thank you in advance!",Reconstructed breasts post breast cancer with Natrelle cohesive gel implants and rippling? Can this be fixed? (Photo),After Procedure Only,options
I have some heaviness and hardness in reconstructed breast,6-Nov-15,"Duluth, MN","Although there are areas in my breast that I can still push on and it's softer, there is a ridge round the outer edges that is very firm my breast is very heavy and uncomfortable. The doctor says I do not have fat anemia. It is well perfused and has excellent color. I had surgery Oct.21,2015. I am just looking for ideas of what I can do to help myself.",I have some heaviness and hardness in reconstructed breast,After Procedure Only,options
Airport travel. Will my drains be an issue?,2-Jan-16,"Lincolnshire, IL",I have to travel to Asia on business for two weeks and my drain is still in after 7 weeks. My surgeon says I can go but keep it clean and stay on antibiotics. Will TSA have any issue since it looks like a granade and I use a safety pin to attach it to my shirt? I posted another question about the whole 7 weeks issue.,Airport travel. Will my drains be an issue?,After Procedure Only,options
6 months post op pain and swelling follow up. Can anyone advise on how best to proceed?,5-Jan-16,"South Carolina, SC",I had an ultrasound today to exam the area of concern. It showed what radiologist thinks is a fluid filled cyst in what she described as remaining tissue area. My surgeon says the idea of it been in remaining tissue area is ridiculous as I had a bilateral masectomony no tissue remains and that a follow up mammo that was recommended would be a waste of time. She wants to review report before coming up with what to do next. Can anyone advise on how best to proceed.,6 months post op pain and swelling follow up. Can anyone advise on how best to proceed?,After Procedure Only,options
How to get rid of an infection around a gummy bear implant after reconstruction from mastectomy?,4-Jan-16,"Chesapeake, VA","It has been over a month since surgery, both incisions are closed and look perfect. My right breast is swollen, red, and I have fevers ranging from 101.3 - 103. On antibiotics now, but my question is, what happens if the antibiotics do not get rid of the infection. Will the implant have to come out???",How to get rid of an infection around a gummy bear implant after reconstruction from mastectomy?,After Procedure Only,options
Slight abdominal bulge below the navel after DIEP flap. Does this go away?,9-Jan-16,"Philadelphia, PA","I had bilat. prophylactic mastectomy nearly 3 weeks ago. On one said PS did m/s free tram. On the other side he was able to do DIEP. I have a slight bulge on the side where the DIEP was done. He said it's not a hernia and I can wear yoga pants to help with this (elastic waistband). Will this bulge go away? It is a small bulge, but it's definitely there. He did not recommend an abdominal binder. When can I expect this bulge to go away, if ever?",Slight abdominal bulge below the navel after DIEP flap. Does this go away?,After Procedure Only,options
Poor cosmetic result of DIEP flap scar revision. How can it be corrected?,10-Jan-16,"Greenville, SC","After stage 2 of the DIEP flap, 8 months ago, I'm left with a one sided lump on my lower left abdomen below the incision. The PS states its muscle and can not be treated with lipo. He didn't really explain how the muscle healed this way but did say surgery would be extensive and would have to be coded as a ""hernia"" in order for insurance to cover it. I can not imagine not having this fixed but do not want another extensive surgery. Anyone have any experience with this or thoughts on how to correct?",Poor cosmetic result of DIEP flap scar revision. How can it be corrected?,After Procedure Only,options
Breast reconstruction after mastectomy using TRAM Flap method,9-Jan-16,"Lake Wales, FL","Breast reconstruction 2001. Latter part 2015 I had a cyst on the operation site drained . Early this year I noticed 3 lumps in the same area and went back for a check up. Told it could be necrosis had 3 core biopsies. I get the results next week. Meanwhile the area has become inflamed , hot, painful , the pain also in my breast bone. Should I take this up as a matter of urgency or wait for my appointment next week. Also is it likely that this necrosis will be surgically removed? Thank you.",Breast reconstruction after mastectomy using TRAM Flap method,After Procedure Only,options
When one could say they are looking at the final result of breast reconstruction with implants?,31-Jan-16,"Los Angeles, CA","Hi! I had Natrelle 510 dual gel 550gr anatomical silicone implants about 11 days ago for breast reconstruction after modified DMX. I find implants a bit high and wide on the upper pole. I don't know if it might be swelling or waht. I mean, Should one wait a bit to see the final result? or is it just there from next day of surgery? What changes would occur with the passing of days with implants and breast recons result? Would the shape and position of implants change a bit? Thanks.",When one could say they are looking at the final result of breast reconstruction with implants?,After Procedure Only,options
Are there any options for making the breast larger once the implant has been put in on a radiated breast?,29-Jan-16,"North Providence, RI","I had a mastectomy on the left side, with an expander put in immediately following the surgery. Followed by 6 weeks of radiation. A week ago I had the expander removed, replaced with an implant, and the other side was reduced to match the implant. They are not what I expected - I am so small now!! Help! Do I have any options?",Are there any options for making the breast larger once the implant has been put in on a radiated breast?,After Procedure Only,options
Breast reconstruction: could my breasts have been made more symmetrical? (Photos),20-Jan-16,"California, MD",Breat reconstruction I had surgery in Tijuana in March of last year to correct the severe asymentry with my breast my left had always been much larger apparently I needed recount excuse my skin had stretched so much I'm horrified at my results I still feel like he could have made them a little more symmetrical I know they will never be perfect but my scars on my left have not healed and look horrible still I know it's. Waiting game but something doesn't look right,Breast reconstruction: could my breasts have been made more symmetrical? (Photos),After Procedure Only,options
Seeking nipple reconstruction options (Photo),13-Feb-16,"Madison, WI","I had a nipple sparing mastectomy one year ago but lost one nipple due to necrosis. I have some areola now but no protrusion. I tried 3d tattoo but it does not look 3d to me and my other nipple is 3d so I feel lopsided. My Dr. has recommended a star flap, but my nipple on the other side is not very high, and I think i will be unhappy with the extra height they create to allow for shrinkage, and the extra scars. Are there other options that give just a little bit of projection with less scarring?",Seeking nipple reconstruction options (Photo),After Procedure Only,options
Can I have plastic surgery on a radiated breast?,27-Nov-15,"Sayville, NY",5 years ago I had a left breast mastectomy and had reconstruction at the same time. I selected to have a tram flap. I had chemo and radiation after. It has been 4 years since the radiation. I am unhappy with the results and want to have plastic surgery again on the radiated boob to make the breast smaller and to add a nipple. Can this be done? Is it safe?,Can I have plastic surgery on a radiated breast?,After Procedure Only,options
"What recommend for pulling, axillary pain both sides since 2/2014; grabbing, squeezing pain left implant began 2/2015?",12-Dec-15,Minnesota,"Age 68, double mastectomy 2012 with 600cc implants 2013. 3 types of pain, 2013, localized discomfort in axillary area of right implant, 2014 pulling axillary pain, still present. 3 rounds myofascial massage with relief, but no resolution. Did exercises, caused left shoulder impingement, resolved with exercise and PT. 2015 grabbing, squeezing pain over left implant. Fall 2015, given muscle relaxers and acupuncture/no relief/PS gave steroid injections into localized trigger points with relief.","What recommend for pulling, axillary pain both sides since 2/2014; grabbing, squeezing pain left implant began 2/2015?",After Procedure Only,options
I had breast reconstructive surgery with implants about 4 months ago. Drains keep falling out after a about a week or so.,30-Dec-15,"Opelousas, LA",This week my Dr is out of town and he agreed that when he returns we need to have extra done to see where fluid is coming from. I have been in a lot of pain since this started. I have been on infection medicine for about 4 weeks now. Last week he had to staple the bottom of my boob so that the opening would not open on meWell this morning I pressed on each boob. Liquid actually started squinting out of each one. I had to get over toilet to let them drain. Will waiting till Monday be to long.?,I had breast reconstructive surgery with implants about 4 months ago. Drains keep falling out after a about a week or so.,After Procedure Only,options
JP Drain Tube in 7 weeks and counting,2-Jan-16,"Lincolnshire, IL","I have had breast cancer twice, 7 years apart, same side and with radiation 2X. I have had breast reconstruction surgery and scar tissue removal 3 times. Every time they do the surgery my JP Drain numbers never go down low to pull it out. I just finished Week 7 and still averaging 40-50 output. My doctor whas me on Vancomycin via a Midline to make sure there is no infection. We are clamping the lines a few hours a day to ""Train"" it as a test. Any other ideas?",JP Drain Tube in 7 weeks and counting,After Procedure Only,options
What are my options for scar revision on breasts from DIEP reconstruction? Florida plastic surgeon would be nice.,2-Jan-16,"Winter Garden, FL",,What are my options for scar revision on breasts from DIEP reconstruction? Florida plastic surgeon would be nice.,After Procedure Only,options
"Breast reduction failed, had a reconstructive surgery and they still aren't right and have lost close to all feeling",3-Jan-16,"Novi, MI","I got a breast reduction in May of 2013, and immediately knew something wasn't right. They were different sizes, the right nipple was misplaced and the scaring was awful. The surgeon admitted I needed surgery to fix it. I had the surgery to fix it and while the nipple was placed in the correct spot, they are different sizes, very lumpy and I have lost close to all feeling. I am only 22 and this is very upsetting for me. What are my options? Could I sue? Would another surgery help?","Breast reduction failed, had a reconstructive surgery and they still aren't right and have lost close to all feeling",After Procedure Only,options
I accidentally burned my post-mastectomy implant two weeks ago. Not sure if it's healing okay. (Photo),11-Feb-16,"Miami, FL","Two weeks ago, I left a heating pad on my post-mastectomy breast. It burned and there was a big blister. They removed the blister in the ER, and it was looking better. I applied silver something ointment twice a day for over a week and kept gauze on it. First picture is how it looked right away. Two weeks later it's caked in hard blood. I'm not sure if it's healing, if I should keep treating it, etc. it kind of looks worse. That's the second picture.",I accidentally burned my post-mastectomy implant two weeks ago. Not sure if it's healing okay. (Photo),After Procedure Only,options
"Aesthetically, do you think I should reduce my areola? Reconstruction after mastectomy. I have Natrelle 410FX, 495 cc (Photo)",11-Mar-16,"Los Angeles, CA","Rght side is hanging inch lower than the left. Is it cause one breast was larger thn other? Also, l have a little excessive skin. PS & I talked about cutting around the areola after the implants settle & making them smaller scooping the excessive skin too. should I go through tht procedure & have smaller areola's but scar, or leave them larger but no scar? Also, gummy's look flat in some outfits. wondering should l swap thm out for rounds. What would be best 4 my body type? I am 5.7, 130pounds.","Aesthetically, do you think I should reduce my areola? Reconstruction after mastectomy. I have Natrelle 410FX, 495 cc (Photo)",After Procedure Only,options
How to get reconstruction implants to feel natural?,7-Mar-16,"Gastonia, NC","After double mascetomy, how do I get implants to soften . It's been 15 months since implants were put in",How to get reconstruction implants to feel natural?,After Procedure Only,options
Nipple reconstruction advice needed.,4-Mar-16,"Clairton, PA",I would like opinions on nipple reconstruction post implant reconstruction. I am trying to decide between 3D tattoos vs nipple reconstruction and tattoos. I had tissue expander to implant reconstruction post bilateral mastectomies for breast cancer. How successful is nipple reconstruction?,Nipple reconstruction advice needed.,After Procedure Only,options
Avascular necrosis of the NAC 8 weeks later. Now what? (Photo),"April 26, 2016","Wayne, NJ","8 weeks post mastectomies for breast cancer and implants I have been dealing w BL NAC avascular necrosis. The full thickness eschars are shrinking (almost too fast) and a tiny bit of alloderm shines through. Still on oral ABX, silvadene at night. I am scared to continue the Santyl. Just got some ""pig bladder"" growth factor powder for edges of eschar...trying to keep area around nipples moisturized...advice? I am taking vitamins. What about MediHoney? anything else? I want to ""keep"" the implants",Avascular necrosis of the NAC 8 weeks later. Now what? (Photo),After Procedure Only,options
What are my options? I would like to have smaller implants or nothing at all. Keep in mind I'm active.,17-May-16,"Albany, KY","I was Dx with stage 3a breast cancer at 33 in 2012. I had a double mastectomy with reconstruction.My implants are Mentor Smooth Round Plus Profile Saline 1025 on right 1000 on left both under the muscle.I'm having problems with burning and pain on both sides its the worst on my right side along the bottom and in between my breast this especially happens when I'm being really active or lay on my right side to sleep at night, it also looks like there coming closer together in the center as well.",What are my options? I would like to have smaller implants or nothing at all. Keep in mind I'm active.,After Procedure Only,options
Soreness/tightness throughout breast after surgery,22-May-16,"Phoenix, AZ",I'm 4 month post op and I've had a double mastectomy and reconstruction at the same time. I've gotten back to my normal routine for 2 months now which includes the gym. I still notice the mornings I am sore along with after work when I sit down and relax at home. I get shooting pains every now and then in the breast along with itches that feel like they are under my skin. I was curious why there is still tightness/soreness after I sit for a while and get back up?,Soreness/tightness throughout breast after surgery,After Procedure Only,options
"Style 45 700 CC's, or style 20 moderate 550 CC's?",26-May-16,"Boston, MA",I had a double mastectomy and have Natrelle style 410 tear drop implants placed with 495 cc.?I'm looking for more fullness up top since the tear drop ones don't give me cleavage up top. I'm looking to switch to style 45 high profile or style 20. I don't want to look huge since I'm a petite person who weights 125 height 5'4. My plastic surgeon said the style 20 will give me less projection. Any suggestions?,"Style 45 700 CC's, or style 20 moderate 550 CC's?",After Procedure Only,options
How can I help reduce swelling after my breast augmentation? (Tuberous breast reconstruction),28-May-16,"New York City, NY","I am 9 days post op and my originally smaller breast is still super swollen while the other seems really normal: no swelling, no pain... I understand much more work was done to my originally smaller breast and that is why it is so super swollen but I'm simply wondering if there is any kind of routine to reduce the swelling and/or the pain that comes along with it? Thanks",How can I help reduce swelling after my breast augmentation? (Tuberous breast reconstruction),After Procedure Only,options
"Reconstruction after dbl mastectomy, left with surface scarring that is shriveled, hard, painful & ugly. What to do? (Photo)",8-Mar-16,"Berkeley, CA","Had dbl mastectomy 3 yrs ago--no follow-up rads or chemo needed. Had reconstruction w/ inserts 1 yr later. Healed w/ exception of left breast, front ctr chest, 1"" area of wrinkled, sunken & hardness under skin. Surgeon said likely due to stitch left behind during orig. surgery--would eventually heal. April 2015 had surgery to correct. Looks worse w/ more pronounced bruising & painful to sleep on. Sends achy streaks thru chest. Will this ever heal? I just moved to another state.","Reconstruction after dbl mastectomy, left with surface scarring that is shriveled, hard, painful & ugly. What to do? (Photo)",After Procedure Only,options
I am still in extreme pain and discomfort and being told I will have to undergo another surgery in 4 months.,30-May-16,"Fredericksburg, VA","In April 2015, I underwent double prophylactic mastectomy with immediate reconstruction. The doctor was able to place the silicone implants on top of my muscle immediately. I lost in excess of 50 pounds last year and had ""extra"" skin. Since I am still having extreme pain when moving and am not happy with the ""saggy"" look of my implants, do I have any options? The additional surgery they said was to remove the ""excess"" skin?",I am still in extreme pain and discomfort and being told I will have to undergo another surgery in 4 months.,After Procedure Only,options
Can the incision site at my DIEP reconstruction be corrected? It went from being flat to a lump that just drops off (Photo),24-Mar-16,"Waterford, NY",,Can the incision site at my DIEP reconstruction be corrected? It went from being flat to a lump that just drops off (Photo),After Procedure Only,options
"7.5 weeks post bilateral, expanders placed. Last week, R breast draining thin-yellow-clear liquid. Breast filled w/fluid",24-Mar-16,,"Bilateral mastectomy w/ expanders. PS back into right breast due to bleeding. Wk 3 drains out. Wk 5.5 lost right nipple. Wk 6.5 incision area not healed draining thin-yellowish-clear fluid. Today breast filled w/ fluid, slight draining & painful. No temp & on keflex as precaution. I have a great PS that doesn't seem worried about the fluid but I am. Armpit & breast painful and engorged. Will see PS again in 7 days. Do I need to worry & start thinking no recnstrct?","7.5 weeks post bilateral, expanders placed. Last week, R breast draining thin-yellow-clear liquid. Breast filled w/fluid",After Procedure Only,options
"l live with 2 roommates and they both smoke weed, I am scared of inhaling the weed smoke and affecting my healing process.","April 8, 2016","Bronx, NY","I had a breast removal surgery, both of my breast were removed completely is been 11 days since the surgery, ?what should i do?","l live with 2 roommates and they both smoke weed, I am scared of inhaling the weed smoke and affecting my healing process.",After Procedure Only,options
Breast reconstruction. What kind of complication is this? What can I do? (Photo),"April 4, 2016","Georgia, GA","hello i have got breast plastical surgery 6 month ago.it llooked ok,bur few month ago it changed the shape.doctor told me that it happens and offered secondery mini surgery that means to add some fat in scars,can you explain what kond of complication is it ,and what can i do.",Breast reconstruction. What kind of complication is this? What can I do? (Photo),After Procedure Only,options
"Had reconstruction, hate the results, what can I do?","April 14, 2016","Detroit, MI","I had a bi lateral, nipple sparing, double mastectomy, no radiation, no skin sparing. I was a 36DDD before I opted to go smaller with reconstruction. I am about a 34DD now. When I lay down they move to the sides and reveal a concave space on both side that is horrible. I can place 3 finger in this space is is so wide and deep. I got ultra high profile implant, placed in the space. I hate the results, they are saggy, and move all over. I assumed they would be placed under the muscle.","Had reconstruction, hate the results, what can I do?",After Procedure Only,options
5 mos post DIEP flap on rt side. M/S free tram on left (inlay mesh used on lt side). Now with bulge rt side. Can mesh fix issue?,6-Jun-16,"Philadelphia, PA",The pic with larger bulge is the diep flap side. The smaller bulge is fine and they put mesh there. No complaints with left side. Rt side is much flatter when I wake up. PS has given no answers.I had other issues due to his sloppy work and going to someone else for revision. New PS said he can lipo the area. I am thinking I need mesh to make me even with left side. Hernia ruled out on U/S. I am upset with outcome. What will solve my problem? If they re open me to put mesh will my abd scar worsen,5 mos post DIEP flap on rt side. M/S free tram on left (inlay mesh used on lt side). Now with bulge rt side. Can mesh fix issue?,After Procedure Only,options
After reconstruction one of my implants flipped into my armpit. Now that implant is not staying in the front? (Photo),10-Aug-16,"Surprise, AZ",When the spacers were put in to inflate one flipped and went sideways. Now that breast goes into the armpit is there anyway to correct this and have them both about the same? See below.,After reconstruction one of my implants flipped into my armpit. Now that implant is not staying in the front? (Photo),After Procedure Only,options
How can I reduce the daily fluid output after reconstruction?,22-Aug-16,48044,"I had a bilateral mastectomy with immediate reconstruction in the first week of June this year. Since then, I have experienced complications of fluid building up twice in one breast and now it seems to be happening with the other. As a result...we are now at the end of August and I have drains again. I've actually had them much longer than I've been without them since this journey began and I'm wondering what can I do to get my fluid count down to 10-15 cc's daily?",How can I reduce the daily fluid output after reconstruction?,After Procedure Only,options
After 6 weeks; no results? (Photos),21-Aug-16,"Miami, FL",I've had to come to my surgeon to get fix only to tell me is normal? After advise a surgeon from Miami told me they was still liquid inside the he need to open and clean even removed implant and only after 6 months put the implants back. But my surgeon said no instead cut the old skin and stitched back leaving horrible whole in it and put me all 6 weeks on antibiotics to continue feeling like crap pain hurt in my stomach for so many antibiotics. Please what can I do? Help,After 6 weeks; no results? (Photos),After Procedure Only,options
"Cancer mastectomy, Breast reconstruction 5 years ago. Terrible itching under epidermis.",22-Aug-16,"Ayer&#039;s Cliff, QC","Cancer mastectomy, Breast reconstruction 5 years ago. Terrible itching and hot pains under the surface, cannot soothe them, for the last 2 years. What to do? Who to see?Reconstruction surgeon now deceased? Thanks","Cancer mastectomy, Breast reconstruction 5 years ago. Terrible itching under epidermis.",After Procedure Only,options
I had DIEP flap surgery a year ago and a bulge along my incision line that swells,26-Aug-16,"Grand Rapids, MI","I have had a CT and not a hernia but they did not scar tissue from prior surgeries. Lymphdema massage and compression is not solving the problem and do not know what to do. Can you help me. By the end of the day, I look like I am 6 months pregnant and uncomfortable.",I had DIEP flap surgery a year ago and a bulge along my incision line that swells,After Procedure Only,options
Please tell me a have a solution for my breast? It's been 2 months and my breast look horrible (Photos),14-Sep-16,"Miami, FL",Is been 2 months and my breast look horrible still haveva draining hole and looks horrible the still hurts can you please tell me what should I do? I don't want to go back to the same surgeon who did this to me but im also not rich. Please help.,Please tell me a have a solution for my breast? It's been 2 months and my breast look horrible (Photos),After Procedure Only,options
I have just had a double mastectomy (breast cancer) and was a DD - I chose a full D (600 cc) OR DD?,16-Sep-16,"Lebanon, PA",,I have just had a double mastectomy (breast cancer) and was a DD - I chose a full D (600 cc) OR DD?,After Procedure Only,options
3 years post op from double mastectomy with reconstruction and feel a very small pea like lump near underarm. Scar tissue?,27-Oct-16,"Montreal, QC","I had a mastectomy with reconstruction 3 years ago, I have recently found a very small pea sized lump on the breast where I had Cancer (close to original site), it is not near the incision, it is just on the edge of the breast near my underarm. This is much much smaller than my malignant lump and it is hard to detect. In some positions I can;t find it, but in others I feel it, also area is tender. Scar tissue or something I should check out soon? I have an important in 6 weeks to see my doctors.",3 years post op from double mastectomy with reconstruction and feel a very small pea like lump near underarm. Scar tissue?,After Procedure Only,options
Is there a time window post breast reconstruction surgery that a patient is in the clear for skin necrosis?,27-Oct-16,"Denali National Park, AK","I have had a nipple saving double mastectomy and immediate reconstruction following breast cancer treatment - just chemo, no radiation. On one of my breasts I have a red area (size of a golf ball) just under the suture line that formed a few days post surgery. I'm on antibiotics now. My question is - how long would I know if this is just an infection or the beginnings of necrosis? And, does necrosis immediately turn black, or does it gradually change the skin color?",Is there a time window post breast reconstruction surgery that a patient is in the clear for skin necrosis?,After Procedure Only,options
My breasts are asymmetric after reconstruction. What can be done?,11-Jun-16,"Raleigh-Durham, NC",,My breasts are asymmetric after reconstruction. What can be done?,After Procedure Only,options
Found a lump under my nipple by scar following DCIS breast conserving surgey,14-Jun-16,"Birchington, GB","I had high grade dcis with microinvasion 3 years ago. Treated with breast conserving surgery followed by radiotherapy. Whilst in shower yesterday, discovered small lump in same breast just under the nipple by my scar. I am aware of fat necrosis, had my left breast reduced aswell and had that problem....just wasnt expecting to find anything 3 yrers on. Should i get it checked out",Found a lump under my nipple by scar following DCIS breast conserving surgey,After Procedure Only,options
"After double mycectomy and reconstruction of breast, can cadaver nipple and areola be used instead of tattoo and fake nipples?",19-Jun-16,"Manila, AR",My breast are flat on top. My breast look good excpt for the nipple area which really botheres me it has been 5 years and this is unatractive and i dont like taking my top off even when someine says it doest bother them but their facial expressions and not hoing near my breast makes me feel like i need to run and hide forever. Is this a possibility,"After double mycectomy and reconstruction of breast, can cadaver nipple and areola be used instead of tattoo and fake nipples?",After Procedure Only,options
Why do my silicone implants feel like stuffing?,16-Jul-16,"Greenville, NC",I am a 56 year old breast 3 year breast cancer survivor. I had a double mastectomy and I had my reconstructive surgery July 10th of 2015. I have silicone and would like to know why they feel like I have stuffing.,Why do my silicone implants feel like stuffing?,After Procedure Only,options
Nipples reconstructed 20 days ago. When could I see the final result?,25-Jul-16,"Los Angeles, CA","Hi! I'd like to know when I could see the final projection of reconstructed nipples. I'd like to know if reconstructed nipple with a skin flap from reconstructed breast lose projection. If so, how much will it flatten and when will this happen? Does nipple protection helps somehow? I had modified Fleur de Lis Flap technique. Could you please share some pictures or a link about this technique? Thanks.",Nipples reconstructed 20 days ago. When could I see the final result?,After Procedure Only,options
Not happy with results from tram flap breast reconstruction - can it be changed to an implant reconstruction if I desired?,22-Jul-16,,,Not happy with results from tram flap breast reconstruction - can it be changed to an implant reconstruction if I desired?,After Procedure Only,options
I received small c size implants. I thought she said full c,1-Aug-16,"Henderson, NV",I had Bi-Latural Reconstruction surgery on 7-30-19 . In pre op my surgon confirmed that I was recieving a small C implant I thought she said full C . I am 70% deaf and I wear Hearing Aids but I still have a difficult time understanding some words exspecially when the person isnt looking right at me. we had discussed size in the past and I always indicated I wanted to be a full C small D cup. Can this be fixed and how long should I have to wait for it to be done.,I received small c size implants. I thought she said full c,After Procedure Only,options
Expanders to implants. My PS wants to use gummy bear implants. Is it a good choice? (Photo),23-Dec-16,"Toronto, ON",I have 500cc's in each expander and 25 rads on left side.Finished rads 2 months ago and booked for exchange in April.The left side is more flat and always has been from the start.I don't find that rads changed the skin/expander at all.PS wants to use gummy bear implants and just wondering if it's a good choice? I'm very concerned about projection and symmetry! She said the rads will effect shape and symmetry but by how much?? I'm panicking and feel like I didn't recieve much info/pics/options!?,Expanders to implants. My PS wants to use gummy bear implants. Is it a good choice? (Photo),After Procedure Only,options
Had latissimus flap on right breast just imlpant on the left. I'm very lopsided how can I obtain symmetry?,4-Jan-17,"Battle Mountain, NV",,Had latissimus flap on right breast just imlpant on the left. I'm very lopsided how can I obtain symmetry?,After Procedure Only,options
Post preventative mastectomy reconstruction surgery - open wound not healing on right breast? What did I do wrong? (Photo),1-Mar-17,"Francisco, IN","Does this look okay? My left breast is perfect but the right one just isn't healing as well. Below is photos from week 1, 2, 3-4 & now week 5. It seems to be getting worse? Why? I just saw my plastic surgeon and he said it's healing and not infected but I'm very concerned.",Post preventative mastectomy reconstruction surgery - open wound not healing on right breast? What did I do wrong? (Photo),After Procedure Only,options
Is my expander infected with Candida? 4 mths ago had BM due to LCIS L breast. Had immediate reconstruction w/implants.,"April 2, 2017",,"The skin on the L breast was too thin and not healing, so L implant removed & expander inserted. Swab Cultures showed Candida. Took Fluconazol 1st expansion after 6 weeks, wound opened and liquid started to drain. Wound got closed w/Stitches and a culture swab showed Candida again (no meds sent this time). As of today no expansions because serum is still accumulating. Wound closed, no fever, but infectious decease Dr says liquid = Candida & Expander needs to come out. Do I have any other option",Is my expander infected with Candida? 4 mths ago had BM due to LCIS L breast. Had immediate reconstruction w/implants.,After Procedure Only,options
Can muscle movement be reduced in a Latissimus Dorsi Muscle flap?,28-Mar-17,SC ,"I had a lattisimus Dorsi muscle flap reconstruction about 4 years ago after breast cancer. I have considerable muscle movement in the flap. It also pulls when I raise my arms over my head. My nipples have gravitated to almost under my arms. The initial bilateral mastectomy was nipple sparing, but, they are so scarred that I almost wish I hadn't kept them. My question is related to the flap. What can be done if anything to create a less muscular flap? I do teach spinning and workout every day.",Can muscle movement be reduced in a Latissimus Dorsi Muscle flap?,After Procedure Only,options
What kind of outcome can I realistically expect from a breast reconstruction surgery? (Photo),19-Mar-17,"Cherry Hill, NJ",I've some additional pictures to my original question to capture a better view of the ripple effect that is happening with the direct to implant (Mentor Memory Shape implant) post breast reconstruction surgery. Will this rippling go away? Will the implant become softer? Will the sides smooth out? Should I even expect anything better than this? Or can improvements be made so that it's a more normal outcome? I'd appreciate an expert opinion or questions I should pose to my surgeon. Thank you!,What kind of outcome can I realistically expect from a breast reconstruction surgery? (Photo),After Procedure Only,options
